#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:30:08 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:30:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/217/32/cvrhs&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22170032
#Name: J/ApJS/217/32
#Title: S4G galaxy morphologies in the CVRHS system (Buta+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	creator=Buta R.J.	    First author or institution
#INFO	cites=bibcode:2015ApJS..217...32B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/217/32	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22170032	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_217_32_cvrhs:
#Name: J/ApJS/217/32/cvrhs
#Title: CVRHS (Comprehensive de Vaucouleurs  revised Hubble-Sandage) classifications for 2412  S^4^G galaxies, plus arm classification
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(A10)	Galaxy identifier (G1)	[ucd=meta.id;meta.main]
#Column	f_Name	(A1)	[*] Additional galaxy (G2)	[ucd=meta.code]
#Column	P1T	(a45)	Phase 1 type (1)	[ucd=src.morph.type]
#Column	P2T	(a45)	Phase 2 type (1)	[ucd=src.morph.type]
#Column	Figure	(a11)	Figure number (2)	[ucd=meta.id]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	<T>	(F4.1)	[-5/11]? Unweighted average numerical T index (3)	[ucd=src.morph.type]
#Column	<F>	(F5.2)	[0/1]? Unweighted average numerical F index (3)	[ucd=src.morph.type]
#Column	<Type>	(a57)	Unweighted average classification type (3)	[ucd=src.morph.type]
#Column	Notes	(a99)	Additional notes (Arm classifications in table9)	[ucd=meta.note]
#Column	S10	(I3)	Galaxies in S4G catalog version 2 (2013-09) (Sheth et al. 2010, J/PASP/122/1397)	[ucd=meta.ref.url]
#Column	Opt	(I3)	Display the available optical data from Knapen et al. 2014, J/A+A/569/A91, within 30"	[ucd=meta.code]
#Column	AC	(A1)	[FGM] Arm class (4)	[ucd=meta.code;src.morph]
#Column	_RA	(F9.5)	Positions from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	f_Name	P1T	P2T	Figure	Simbad	NED	LEDA	<T>	<F>	<Type>	Notes	S10	Opt	AC	_RA	_DE
     821	NGC 3380  	 	(RL)SA\underline{B}(\underline{r}s)0/a       	(L)SAB(\underline{r}s,bl)0/a                 	II.1.0713  	Simbad	NED	LEDA	 0.0	 0.62	(R\underline{L})SAB(\underline{r}s,bl)0/a                	excellent (RL); resembles N3504                                                                    	  1	  1	 	162.05065	+28.60177
     822	NGC 3384  	 	(L)SA\underline{B}(l)0^-^                    	SA\underline{B}(bl)0^-^                      	II.1.0714  	Simbad	NED	LEDA	-3.0	 0.75	(L)SA\underline{B}(bl)0^-^                               	excellent case                                                                                     	  1	  1	 	162.07040	+12.62930
     823	NGC 3381  	 	SB(r\underline{s})dm                         	SB(s)dm                                      	II.1.0715  	Simbad	NED	LEDA	 8.0	 1.00	SB(s)dm                                                  	flocculent spiral; excellent case; ``prototype example                                             	  1	  1	F	162.10344	+34.71125
     824	NGC 3389  	 	SAB(r\underline{s})c                         	(R')SA(r\underline{s})c                      	II.1.0716  	Simbad	NED	LEDA	 5.0	 0.25	(R')S\underline{A}B(r\underline{s})c                     	flocculent spiral                                                                                  	  1	  1	F	162.11626	+12.53320
     825	NGC 3364  	 	SA(s)bc                                      	SA(s)b                                       	II.1.0717  	Simbad	NED	LEDA	 3.5	 0.00	SA(s)\underline{b}c                                      	flocculent spiral; excellent face-on case                                                          	  1	  0	F	162.12413	+72.42506
     826	UGC 5918  	 	dIm                                          	dIAm                                         	II.1.0718  	Simbad	NED	LEDA	10.0	 0.00	dIm                                                      	dIAm                                                                                               	  1	  1	 	162.40333	+65.53117
     827	UGC 5922  	 	SAB(s)a: pec                                 	dSA(s)b / Sph                                	II.1.0719  	Simbad	NED	LEDA	 2.0	 0.25	S\underline{A}B(s)ab: pec / Sph                          	multi-armed spiral                                                                                 	  1	  1	M	162.25622	-00.64041
     828	UGC 5921  	 	IBm sp                                       	Im sp / Sph                                  	II.1.0720  	Simbad	NED	LEDA	10.0	 1.00	IB:m sp / Sph                                            	                                                                                                   	  1	  1	 	162.30116	+27.92769
     829	IC 2604   	 	SA(s)m:                                      	S\underline{A}B(s)dm                         	II.1.0721  	Simbad	NED	LEDA	 8.5	 0.12	SA(s)d\underline{m}:                                     	flocculent spiral                                                                                  	  1	  1	F	162.35411	+32.77270
     830	NGC 3395  	 	SA(s)c pec                                   	SA(s)c pec                                   	II.1.0722  	Simbad	NED	LEDA	 5.0	 0.00	SA(s)c pec                                               	                                                                                                   	  1	  1	 	162.45882	+32.98284
     831	NGC 3396  	 	IB(s)m: pec                                  	Im: pec                                      	II.1.0723  	Simbad	NED	LEDA	10.0	 1.00	IB:(s:)m: pec                                            	                                                                                                   	  1	  1	 	162.48308	+32.99068
     832	UGC 5934  	 	SB(s)dm                                      	(R_1_')SAB(s)cd                              	II.1.0724  	Simbad	NED	LEDA	 7.0	 0.75	(R_1_')SA\underline{B}(s)d                               	flocculent spiral                                                                                  	  1	  1	F	162.49617	+31.90964
     833	UGC 5947  	 	IBm sp                                       	Im                                           	II.1.0725  	Simbad	NED	LEDA	10.0	 1.00	IB:m sp                                                  	                                                                                                   	  1	  1	 	162.62671	+19.64436
     834	NGC 3423  	 	SA(s)bc                                      	SA(s)c                                       	II.1.0726  	Simbad	NED	LEDA	 4.5	 0.00	SA(s)b\underline{c}                                      	flocculent spiral; excellent case                                                                  	  1	  1	F	162.80975	+05.84010
     835	UGC 5958  	 	Sd sp                                        	Sd spw / E(d)7-8                             	II.1.0727  	Simbad	NED	LEDA	 7.0	     	Sd spw / E(d)7-8                                         	                                                                                                   	  1	  1	 	162.81584	+27.84858
     836	NGC 3414  	 	S0^-^ spw/ E(d)1                             	S0^-^ spw/ E(d)0-1                           	II.1.0728  	Simbad	NED	LEDA	-3.0	     	S0^-^ spw / E(d)0-1                                      	embedded disk; possible warping                                                                    	  1	  1	 	162.81767	+27.97497
     837	NGC 3413  	 	SB:(s:)d / Sph sp                            	Im sp?                                       	II.1.0729  	Simbad	NED	LEDA	 8.5	 1.00	SB:(s:)d\underline{m}: sp                                	embedded in 3D background?                                                                         	  1	  1	 	162.83629	+32.76637
     838	PGC 32548 	 	Sc sp                                        	Sc sp / E(d)8-9                              	II.1.0730  	Simbad	NED	LEDA	 5.0	     	Sc sp / E(d)8-9                                          	almost exactly edge-on                                                                             	  1	  0	 	162.84633	-10.13341
     839	ESO 569-14	 	SB(s)d sp or Sd(nd) sp                       	SB(s)d sp                                    	II.1.0731  	Simbad	NED	LEDA	 7.0	 1.00	SB(s)d sp                                                	large edge-on; highly inclined but not edge-on; bar strong                                         	  1	  0	 	162.84708	-19.88778
     840	NGC 3424  	 	SB_x:(s:)a pec sp                            	Sab: sp                                      	II.1.0732  	Simbad	NED	LEDA	 1.5	 1.00	SB:_x_(s:)\underline{a}b: sp pec                         	                                                                                                   	  1	  1	 	162.94301	+32.90068
     841	UGC 5979  	 	SA(s)m:                                      	IAm                                          	II.1.0733  	Simbad	NED	LEDA	 9.5	 0.00	S/IA(s:)m:                                               	face-on                                                                                            	  1	  1	 	163.17150	+67.98856
     842	UGC 5976  	 	SA(s)dm                                      	SAcd:                                        	II.1.0734  	Simbad	NED	LEDA	 7.0	 0.00	SA(s:)d:                                                 	flocculent spiral; face-on                                                                         	  1	  1	F	163.01154	+55.60119
     843	NGC 3433  	 	SAB(s)b                                      	SAB(s)b                                      	II.1.0735  	Simbad	NED	LEDA	 3.0	 0.50	SAB(s)b                                                  	grand-design spiral; excellent case                                                                	  1	  1	G	163.01595	+10.14824
     844	NGC 3430  	 	SAB(s)bc                                     	S\underline{A}B(s)bc                         	II.1.0736  	Simbad	NED	LEDA	 4.0	 0.38	SAB(s)bc                                                 	multi-armed spiral                                                                                 	  1	  1	M	163.04756	+32.95042
     845	NGC 3432  	 	SB(s)m sp                                    	SB(s)m sp                                    	II.1.0737  	Simbad	NED	LEDA	 9.0	 1.00	SB(s)m sp                                                	excellent case; large example                                                                      	  1	  1	 	163.12972	+36.61878
     846	UGC 5989  	 	SB(s)dm                                      	(R')SAB(s)dm                                 	II.1.0738  	Simbad	NED	LEDA	 8.0	 0.75	(R')SA\underline{B}(s)dm                                 	flocculent spiral                                                                                  	  1	  1	F	163.13306	+19.79217
     847	NGC 3437  	 	SA(rs)c                                      	SA(rs)bc                                     	I.1.074    	Simbad	NED	LEDA	 4.5	 0.00	SA(rs)b\underline{c}                                     	multi-armed spiral                                                                                 	  1	  1	M	163.14894	+22.93412
     848	UGC 5990  	 	SB0^o^[d] sp                                 	SA(l)0^+^[d]sp pec                           	II.1.0739  	Simbad	NED	LEDA	-1.5	 0.50	SAB0^{o/+}^[d]                                           	nested disks                                                                                       	  1	  1	 	163.15984	+34.48279
     849	NGC 3443  	 	S\underline{A}B(s)d                          	SA(s)m                                       	II.1.0740  	Simbad	NED	LEDA	 8.0	 0.12	SA(s)dm                                                  	                                                                                                   	  1	  1	 	163.25049	+17.57363
     850	NGC 3447  	 	SB(s)m                                       	SAB(s)dm                                     	II.1.0741  	Simbad	NED	LEDA	 8.5	 0.75	SA\underline{B}(s)d\underline{m}                         	                                                                                                   	  1	  1	 	163.35042	+16.77194
     851	NGC 3447A 	 	Im                                           	Im sp                                        	II.1.0742  	Simbad	NED	LEDA	10.0	     	Im sp                                                    	                                                                                                   	  1	  1	 	163.35042	+16.77194
