#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:26:26 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:26:26	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/145/101/catalog&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51450101
#Name: J/AJ/145/101
#Title: Updated nearby galaxy catalog (Karachentsev+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	creator=Karachentsev I.D.	    First author or institution
#INFO	cites=bibcode:2013AJ....145..101K	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51450101	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_145_101_catalog:
#Name: J/AJ/145/101/catalog
#Title: Catalog of galaxies in the  the Local Volume
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a18)	Galaxy name in well-known catalogs	[ucd=meta.id;meta.main]
#Column	Nd	(I3)	Number of data available for this galaxy (apparent magnitudes + velocities + kinematics + distances, in tables 3--6)	[ucd=meta.number]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	a26	(F6.2)	[0.1/645.65]? Major angular diameter (1)	[ucd=phys.angSize]
#Column	b/a	(F5.2)	[0/1]? Apparent axial ratio (1)	[ucd=phys.angSize;arith.ratio]
#Column	AB	(F5.2)	[0.01/7.88]? Galactic extinction in B band (2)	[ucd=phys.absorption.gal]
#Column	l_FUV	(A1)	[>] Lower limit flag on FUV	[ucd=meta.code.error]
#Column	FUV	(F5.2)	[8.21/24.56]? GALEX/FUV band magnitude (3)	[ucd=phot.mag;em.UV]
#Column	Bmag	(F5.2)	[-4.6/21.4]? Apparent integral B band magnitude (4)	[ucd=phot.mag;em.opt.B]
#Column	l_Hamag	(A1)	[>] Lower limit flag on Hamag	[ucd=meta.code.error]
#Column	Hamag	(F5.2)	[3.79/27.87]? Integral H{alpha} line emission magnitude (5)	[ucd=phot.flux;em.line.Halpha]
#Column	Kmag	(F5.2)	[-1.75/17.54]? 2MASS Ks band magnitude (6)	[ucd=phot.mag;em.IR.K]
#Column	f_Kmag	(A1)	[*] Estimated Kmag (7)	[ucd=meta.code]
#Column	l_HImag	(A1)	[>] Lower limit flag on HImag	[ucd=meta.code.error]
#Column	HImag	(F6.2)	[-3.35/21.5]? HI 21cm line magnitude (8)	[ucd=phot.mag;em.radio.750-1500MHz]
#Column	W50	(I3)	? HI line width at 50% level from maximum (9)	[ucd=spect.line.width;em.line.HI]
#Column	TT	(I2)	[-3/11]? Morphology T-type code (10)	[ucd=src.morph]
#Column	Mcl	(a5)	Dwarf galaxy morphology (BCD, HIcld, Im, Ir, S0em, Sm, Sph, Tr, dE, dEem, or dS0em) (11)	[ucd=src.morph.type]
#Column	Tdw	(A1)	Dwarf galaxy surface brightness morphology (H=high, N=normal, L=low, X=extremely low) (11)	[ucd=meta.code;src.morph]
#Column	HRV	(I4)	[-556/2219]? Heliocentric radial velocity (12)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F5.2)	[0.01/26.2] Distance to galaxy	[ucd=pos.distance;pos.heliocentric]
#Column	f_Dist	(A4)	Method used to obtain Dist (G1)	[ucd=meta.code]
#Column	A26	(F5.2)	? Major linear diameter (13)	[ucd=phys.size.diameter]
#Column	i	(I2)	[0/90]? Inclination of galaxy from the face-on (i=0) position	[ucd=src]
#Column	vAmp	(I3)	? Amplitude of rotational velocity (14)	[ucd=phys.veloc.rotat]
#Column	ABi	(F5.2)	[0/1.25]? Internal B band extinction (15)	[ucd=phys.absorption;em.opt.B]
#Column	BMag	(F5.1)	[-21.8/-0.6]? Absolute B band magnitude (16)	[ucd=phys.magAbs;em.opt.B]
#Column	<Bmu>	(F4.1)	? Average B band surface brightness (17)	[ucd=phot.mag.sb;em.opt.B]
#Column	KLum	(F5.2)	[3.19/11.3]? log(luminosity) in Ks band (18)	[ucd=phys.luminosity;em.IR.K]
#Column	M26	(F5.2)	? log(mass) within Holmberg radius (19)	[ucd=phys.mass]
#Column	l_MHI	(A1)	[<] Upper limit flag on MHI	[ucd=meta.code.error]
#Column	MHI	(F5.2)	[1.12/10.19]? log(Hydrogen mass) (20)	[ucd=arith.zp]
#Column	Vlg	(I4)	[-303/2094]? Local group radial velocity (21)	[ucd=phys.veloc;pos.lg]
#Column	Ti1	(F4.1)	[-3/6.5]? Tidal index {Theta}_1_ (22)	[ucd=src.class.struct]
#Column	MD	(a15)	Main disturber name (23)	[ucd=meta.id.assoc]
#Column	Ti5	(F4.1)	[-2.5/6.5]? Tidal index {Theta}_5_ (24)	[ucd=src.class.struct]
#Column	Tij	(F5.2)	[-2.7/2.4]? Ks-density index {Theta}_j_ (25)	[ucd=src.class.struct]
#Column	K+04	(I3)	Cross-match with the Catalog of neighboring galaxies of Karachentsev et al. (2004, cat. J/AJ/127/2031) within 30"	[ucd=meta.ref.url]
#Column	SimbadName	(a29)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NEDname	(a29)	Simbad column added by the CDS	[ucd=meta.id]
recno	Name	Nd	RAJ2000	DEJ2000	a26	b/a	AB	l_FUV	FUV	Bmag	l_Hamag	Hamag	Kmag	f_Kmag	l_HImag	HImag	W50	TT	Mcl	Tdw	HRV	Dist	f_Dist	A26	i	vAmp	ABi	BMag	<Bmu>	KLum	M26	l_MHI	MHI	Vlg	Ti1	MD	Ti5	Tij	K+04	SimbadName	NEDname
     283	AGC191803         	  6	09 48 05.9	+07 07 45	  0.72	 0.47	 0.11	 	18.56	16.50	 	     	14.05	*	 	 16.78	 55	 9	Im   	N	 535	14.90	TF  	 3.12	63	 26	 0.00	-14.5	24.3	 8.04	 8.39	 	 7.97	 352	-1.1	NGC3169        	-0.6	 0.06	  0	AGC191803                    	AGC191803
     284	KK77              	  5	09 50 10.0	+67 30 24	  2.40	 0.75	 0.62	>	23.00	16.30	 	24.41	11.63	*	>	 18.20	   	-3	Sph  	L	    	 3.48	TRGB	 2.89	52	   	 0.00	-12.0	26.6	 7.76	     	<	 6.14	    	 2.2	MESSIER081     	 2.5	 1.90	  1	[KK98a] 77                   	[KK98a] 77
     285	KK78              	  7	09 50 19.6	+31 27 24	  0.41	 0.60	 0.09	 	18.58	17.68	 	20.96	15.25	*	 	 16.70	 20	10	Ir   	N	 539	 7.10	mem 	 0.84	62	  3	 0.00	-11.7	24.3	 6.92	 5.90	 	 7.35	 479	 2.8	DDO064         	 2.8	-0.80	  1	[KK98a] 78                   	[KK98a] 78
     286	DDO064            	  8	09 50 22.4	+31 29 15	  2.19	 0.38	 0.10	 	15.13	14.46	 	17.31	12.45	 	 	 14.50	 84	10	Ir   	N	 521	 7.11	BS  	 4.45	90	 37	 0.00	-14.9	24.7	 8.04	 8.84	 	 8.24	 461	 1.6	KK78           	 1.6	-0.99	  1	DDO064                       	DDO064
     287	UGC05288          	  8	09 51 17.2	+07 49 38	  1.45	 0.62	 0.15	 	15.99	14.62	 	17.53	11.49	 	 	 14.30	 93	 9	BCD  	N	 557	 6.85	BS  	 2.92	60	 47	 0.04	-14.8	23.9	 8.39	 8.87	 	 8.28	 378	-1.5	NGC2903        	-1.1	     	  1	UGC05288                     	UGC05288
     288	NGC3037           	  7	09 51 24.0	-27 00 40	  1.29	 0.87	 0.39	 	15.90	13.64	 	16.76	11.12	 	 	 14.59	 91	 8	     	 	 887	 8.10	h   	 3.28	30	 79	 0.05	-16.3	22.6	 8.69	 9.38	 	 8.31	 591	-1.1	ESO499-037     	-0.7	     	  0	NGC3037                      	NGC3037
     289	BK3N              	  7	09 53 48.5	+68 58 09	  0.32	 0.80	 0.35	 	19.45	18.78	 	25.17	16.11	*	 	 15.70	 15	10	Ir   	N	 -40	 4.02	TRGB	 0.40	41	  4	 0.00	 -9.6	24.7	 6.09	 5.82	 	 7.26	 101	 1.2	MESSIER081     	 1.4	 1.87	  1	BK3N                         	BK3N
     290	LV J0954+3620     	  6	09 54 50.6	+36 20 02	  0.34	 0.67	 0.04	 	19.82	17.93	 	     	15.54	*	 	 18.78	 35	10	Ir   	N	 503	15.40	TF  	 1.51	55	 15	 0.00	-13.1	24.2	 7.47	 7.60	 	 7.20	 470	-1.7	NGC2964        	-1.3	     	  0	[KMK2013] LV J0954+3620      	[KMK2013] LV J0954+3620
     291	KKSG15            	  7	09 55 10.5	-06 16 12	  1.29	 0.23	 0.18	 	18.00	15.14	 	20.77	12.63	*	 	 16.33	 54	10	Ir   	N	 791	 9.70	mem 	 3.56	90	 23	 0.00	-15.0	24.1	 8.24	 8.33	 	 7.77	 554	 0.9	NGC3115        	 0.9	 1.72	  1	[KKS2000] 15                 	[KKS2000] 15
     292	[CKT2009]d0955+70 	  3	09 55 13.6	+70 24 29	  0.35	 0.87	 0.64	>	23.00	19.50	 	     	14.81	*	 	      	   	-3	Sph  	X	    	 3.93	TRGB	 0.48	36	   	 0.00	 -9.1	25.6	 6.60	     	 	     	    	 1.5	MESSIER081     	 1.7	 1.87	  0	[CKT2009] dJ0955+70          	[CKT2009] dJ0955+70
     293	MESSIER081        	  8	09 55 33.5	+69 04 00	 28.18	 0.52	 0.36	 	11.45	 7.79	 	12.13	 3.83	 	 	 10.03	423	 3	     	 	 -38	 3.63	Cep 	31.35	62	226	 0.55	-20.9	22.9	10.93	11.27	 	 9.44	 104	 2.5	MESSIER082     	 2.6	 1.50	  1	MESSIER081                   	MESSIER081
     294	MESSIER082        	  8	09 55 53.9	+69 40 57	 11.48	 0.38	 0.69	 	13.91	 9.06	 	11.58	 4.67	 	 	 11.19	147	 8	     	 	 183	 3.53	TRGB	13.16	69	 69	 0.26	-19.6	22.3	10.57	 9.86	 	 8.95	 328	 2.8	MESSIER081     	 2.8	 1.76	  1	MESSIER082                   	MESSIER082
     295	LV J0956-0929     	  5	09 56 37.6	-09 29 11	  0.93	 0.73	 0.28	 	19.09	15.89	 	20.83	13.28	*	>	 17.40	   	 9	BCD  	N	 627	 5.18	h   	 1.48	49	   	 0.00	-13.0	24.2	 7.44	     	<	 6.80	 378	-2.0	NGC3115        	-1.4	-2.18	  0	[KMK2013] LV J0956-0929      	[KMK2013] LV J0956-0929
     296	DDO068            	  8	09 56 45.7	+28 49 30	  2.00	 0.37	 0.08	 	15.22	14.77	 	18.16	12.82	 	 	 13.97	 74	10	Ir   	N	 503	 9.80	TF  	 5.56	90	 32	 0.00	-15.3	24.8	 8.17	 8.83	 	 8.73	 429	-0.9	NGC2903        	-0.7	-1.92	  1	DDO068                       	DDO068
     297	KDG061            	  5	09 57 02.7	+68 35 30	  1.41	 0.58	 0.31	 	22.41	15.24	 	19.75	10.86	*	 	      	   	-1	Sph  	N	 221	 3.60	TRGB	 1.55	64	   	 0.00	-12.9	24.4	 8.09	     	 	     	 360	 4.0	MESSIER081     	 4.0	 1.89	  1	KDG061                       	KDG061
     298	ClumpI            	  5	09 57 21.2	+68 42 55	  0.18	 0.72	 0.31	>	23.00	19.80	>	23.96	17.17	*	 	      	   	10	Ir   	N	-165	 3.60	mem 	 0.20	50	   	 0.00	 -8.3	24.5	 5.57	     	 	     	 -25	 4.2	MESSIER081     	 4.3	 1.90	  0	[MI2009] Clump I             	[MI2009] Clump I
     299	A0952+69          	  7	09 57 29.0	+69 16 20	  1.82	 0.53	 0.37	 	18.02	16.80	 	20.00	14.11	*	 	 16.26	 48	10	Ir   	L	  99	 3.87	TRGB	 2.17	69	 21	 0.00	-11.5	26.5	 6.86	 8.05	 	 7.00	 242	 2.0	NGC3077        	 2.2	 1.87	  1	Anon 0952+69                 	Anon 0952+69
     300	HolmIX            	  7	09 57 32.4	+69 02 35	  2.63	 0.80	 0.35	 	15.63	14.53	 	19.04	11.86	*	 	 12.63	 50	10	Ir   	N	  50	 3.61	TRGB	 2.96	41	 31	 0.00	-13.6	25.1	 7.70	 8.53	 	 8.40	 192	 5.1	MESSIER081     	 5.1	 1.90	  1	Holmberg IX                  	Holmberg IX
     301	[CKT2009]d0958+66 	  6	09 58 48.5	+66 50 59	  0.87	 0.58	 0.26	 	18.82	16.00	 	     	13.41	*	 	 19.07	 22	 9	BCD  	N	  90	 4.04	TRGB	 1.06	64	  3	 0.00	-12.3	24.1	 7.17	 5.98	 	 5.92	 221	 1.0	MESSIER081     	 1.3	 1.87	  0	[CKT2009] dJ0958+66          	[CKT2009] dJ0958+66
     302	LeoA              	  7	09 59 26.4	+30 44 47	  5.75	 0.61	 0.09	 	14.70	12.92	 	18.46	10.49	*	 	 12.76	 19	10	Ir   	N	  24	 0.81	TRGB	 1.35	61	  3	 0.00	-11.7	25.3	 6.93	 6.11	 	 7.04	 -40	-0.1	Milky Way      	 0.1	 1.35	  1	LEO DWARF GALAXY             	LEO DWARF GALAXY
     303	[CKT2009]d0959+68 	  5	09 59 33.1	+68 39 25	  0.79	 0.70	 0.32	 	19.85	18.00	 	21.33	15.36	*	 	      	   	10	Ir   	L	-186	 3.60	mem 	 0.88	52	   	 0.00	-10.1	25.9	 6.29	     	 	     	 -46	 4.0	MESSIER081     	 4.0	 1.90	  0	[CKT2009] dJ0959+68          	[CKT2009] dJ0959+68
     304	KKSG16            	  4	09 59 47.5	-09 20 36	  0.87	 0.78	 0.31	>	23.00	18.00	 	     	13.62	*	>	 18.20	   	-3	Sph  	L	    	 9.70	mem 	 2.67	48	   	 0.00	-12.2	26.2	 7.85	     	<	 7.03	    	 1.3	NGC3115        	 1.3	 1.72	  0	[KKS2000] 16                 	[KKS2000] 16
     305	SexB              	  8	10 00 00.1	+05 19 56	  6.03	 0.69	 0.14	 	13.92	11.85	 	16.86	 9.50	 	 	 12.33	 38	10	Ir   	N	 300	 1.36	TRGB	 2.41	53	 18	 0.00	-14.0	24.3	 7.78	 7.95	 	 7.66	 110	-0.8	Milky Way      	-0.5	-0.63	  1	SEX B                        	SEX B
     306	KKH57             	  5	10 00 16.0	+63 11 06	  0.60	 0.83	 0.09	>	23.00	17.87	 	24.25	13.69	*	>	 20.00	   	-3	Sph  	L	    	 3.91	TRGB	 0.70	41	   	 0.00	-10.2	25.4	 7.02	     	<	 5.52	    	 0.9	MESSIER081     	 1.1	 1.87	  1	[KKH2001] 57                 	[KKH2001] 57
     307	LV J1000+5022     	  2	10 00 25.5	+50 22 45	  0.58	 0.76	 0.05	 	     	17.10	 	     	14.70	*	 	      	   	 9	Im   	N	 538	 7.97	h   	 1.34	46	   	 0.00	-12.5	24.5	 7.24	     	 	     	 582	-0.9	NGC2841        	-0.6	-1.17	  0	[KMK2013] LV J1000+5022      	[KMK2013] LV J1000+5022
     308	LV J1000+3032     	  6	10 00 36.5	+30 32 10	  0.28	 0.71	 0.08	 	19.84	18.06	 	     	15.64	*	 	 19.26	 20	10	Ir   	N	 501	 7.10	TF  	 0.58	51	  3	 0.00	-11.3	23.9	 6.76	 5.85	 	 6.33	 436	-0.6	UGC05427       	-0.3	-0.80	  0	[KMK2013] LV J1000+3032      	[KMK2013] LV J1000+3032
     309	ClumpIII          	  5	10 00 40.4	+68 39 37	  0.10	 0.95	 0.31	>	23.00	19.80	 	22.21	17.17	*	 	      	   	10	Ir   	L	-121	 3.60	mem 	 0.11	20	   	 0.00	 -8.3	23.3	 5.57	     	 	     	  19	 3.9	MESSIER081     	 3.9	 1.90	  0	[MI2009] Clump III           	[MI2009] Clump III
     310	MCG -01-26-009    	  7	10 01 33.6	-06 31 30	  1.12	 0.78	 0.15	 	17.97	16.10	 	19.60	13.61	*	 	 16.49	 38	10	Ir   	N	 748	 9.70	mem 	 3.24	44	 21	 0.00	-14.0	24.9	 7.85	 8.21	 	 7.71	 510	 1.8	NGC3115        	 1.8	 1.72	  0	MCG -01-26-009               	MCG -01-26-009
     311	KKSG17            	  7	10 01 38.4	-08 14 56	  1.66	 0.21	 0.26	 	18.43	15.41	 	21.66	12.82	*	 	 16.46	 49	10	Ir   	N	 446	 9.70	mem 	 4.65	90	 20	 0.00	-14.8	24.9	 8.17	 8.35	 	 7.72	 203	 2.3	NGC3115        	 2.3	 1.72	  1	[KKS2000] 17                 	[KKS2000] 17
     312	UGCA193           	  8	10 02 36.2	-06 00 43	  4.27	 0.07	 0.17	 	16.61	14.67	 	18.72	12.00	 	 	 14.40	123	 7	     	 	 663	 9.70	mem 	11.23	90	 53	 0.40	-15.8	25.7	 8.50	 9.57	 	 8.55	 427	 1.5	NGC3115        	 1.5	 1.71	  1	UGCA193                      	UGCA193
     313	NGC3109           	  8	10 03 07.2	-26 09 36	 19.95	 0.19	 0.29	 	11.98	10.39	 	14.11	 7.50	 	 	 10.51	117	 8	     	 	 403	 1.32	TRGB	 7.66	83	 51	 0.22	-15.7	25.0	 8.57	 9.37	 	 8.37	 110	 0.2	Antlia         	 0.2	-1.28	  1	NGC3109                      	NGC3109
     314	NGC3077           	  8	10 03 21.0	+68 44 02	  6.46	 0.83	 0.29	 	14.19	10.62	 	14.55	 7.32	 	 	 11.76	 70	 9	dEem 	N	  19	 3.82	TRGB	 7.58	38	 49	 0.02	-17.6	23.1	 9.56	 9.33	 	 8.79	 159	 3.2	GARLAND        	 3.3	 1.86	  1	NGC3077                      	NGC3077
     315	GARLAND           	  6	10 03 42.0	+68 41 36	  3.98	 0.60	 0.29	 	17.03	16.80	 	17.30	14.18	*	>	 14.88	   	10	Ir   	X	  43	 3.82	TRGB	 4.61	62	   	 0.00	-11.4	28.2	 6.81	     	<	 7.54	 183	 6.0	NGC3077        	 6.0	 1.87	  0	GARLAND                      	GARLAND
     316	ESO499-038        	  6	10 03 50.2	-26 36 46	  0.83	 0.55	 0.30	 	16.81	15.68	 	     	13.06	*	 	 14.94	 77	10	Ir   	N	 885	15.30	TF  	 3.86	67	 36	 0.00	-15.5	23.7	 8.47	 8.77	 	 8.73	 591	-1.8	NGC3585        	-1.4	     	  0	ESO499-038                   	ESO499-038
     317	NGC3104           	  7	10 03 57.4	+40 45 25	  3.55	 0.56	 0.06	 	14.57	13.97	 	16.84	11.24	*	 	 14.25	102	 8	     	 	 603	16.00	TF  	16.35	57	 53	 0.08	-17.2	25.2	 9.23	 9.73	 	 9.04	 594	-2.0	NGC3079        	-1.5	-2.03	  0	NGC3104                      	NGC3104
     318	Antlia            	  7	10 04 04.0	-27 19 55	  2.00	 0.75	 0.34	 	17.10	16.19	 	     	12.73	 	 	 16.63	 22	10	Tr   	L	 362	 1.32	TRGB	 0.81	47	  3	 0.00	 -9.8	26.1	 6.47	 6.05	 	 5.92	  66	 2.3	NGC3109        	 2.3	-0.59	  1	ANTLIA DWARF GALAXY          	ANTLIA DWARF GALAXY
     319	BK5N              	  4	10 04 40.3	+68 15 20	  0.79	 0.75	 0.25	 	23.76	17.53	 	24.61	13.20	*	 	      	   	-3	Sph  	L	    	 3.78	TRGB	 0.93	52	   	 0.00	-10.6	25.6	 7.20	     	 	     	    	 2.6	NGC3077        	 2.8	 1.87	  1	BK5N                         	BK5N
     320	UGC05427          	  8	10 04 41.0	+29 21 59	  1.38	 0.67	 0.10	 	16.40	14.89	 	18.94	12.20	 	 	 16.42	 71	 8	     	 	 498	 7.11	BS  	 2.87	49	 41	 0.01	-14.5	24.1	 8.14	 8.75	 	 7.47	 427	-1.2	NGC3344        	-0.7	-1.06	  1	UGC05427                     	UGC05427
     321	KDG063            	  7	10 05 07.3	+66 33 18	  1.91	 0.88	 0.41	>	23.00	16.01	 	22.18	11.53	*	 	 16.27	 19	-3	Tr   	L	-129	 3.50	TRGB	 2.18	34	  4	 0.00	-12.1	25.9	 7.80	 6.70	 	 6.91	   0	 2.0	MESSIER081     	 2.2	 1.90	  1	KDG063                       	KDG063
     322	NGC3115           	  8	10 05 14.0	-07 43 07	  8.51	 0.35	 0.20	 	16.09	 9.87	>	24.11	 5.88	 	 	 13.89	238	-1	     	 	 681	 9.68	SBF 	24.04	90	107	 0.51	-20.8	22.5	10.95	10.50	 	 8.75	 439	 2.3	KDG065         	 2.6	 0.21	  1	NGC3115                      	NGC3115
     323	UGC05423          	  8	10 05 30.6	+70 21 52	  1.07	 0.67	 0.34	 	17.23	14.42	 	18.35	11.99	 	 	 15.92	 44	10	Ir   	N	 348	 8.71	TRGB	 2.88	55	 21	 0.00	-15.6	23.0	 8.41	 8.18	 	 7.84	 496	-1.2	NGC2787        	-0.8	-0.48	  1	UGC05423                     	UGC05423
     324	KDG065            	  4	10 05 34.4	-07 44 57	  1.07	 0.69	 0.03	 	23.16	16.36	 	     	12.23	*	 	      	   	-3	Sph  	L	 721	 9.70	mem 	 3.01	59	   	 0.00	-13.6	25.1	 8.39	     	 	     	 479	 4.9	NGC3115        	 4.9	 1.72	  1	KDG065                       	KDG065
     325	KKSG18            	  5	10 05 41.6	-07 58 53	  1.51	 0.80	 0.23	 	19.40	13.61	 	     	10.05	 	 	      	   	 9	BCD  	N	 698	 9.70	mem 	 4.45	41	   	 0.00	-16.6	23.0	 9.27	     	 	     	 456	 3.9	NGC3115        	 3.9	 1.71	  1	[KKS2000] 18                 	[KKS2000] 18
     326	[CKT2009]d1006+67 	  3	10 06 46.2	+67 12 04	  0.32	 0.97	 0.31	>	23.00	19.70	 	     	15.32	*	 	      	   	-3	Sph  	X	    	 3.87	TRGB	 0.39	17	   	 0.00	 -8.6	25.7	 6.37	     	 	     	    	 1.6	MESSIER081     	 1.9	 1.87	  0	[CKT2009] dJ1006+67          	[CKT2009] dJ1006+67
     327	KDG064            	  5	10 07 01.9	+67 49 39	  1.95	 0.47	 0.25	 	24.07	15.52	 	22.91	11.19	*	 	      	   	-3	Tr   	L	 -15	 3.70	TRGB	 2.19	90	   	 0.00	-12.6	25.5	 7.98	     	 	     	 121	 2.7	MESSIER081     	 2.7	 1.87	  1	KDG064                       	KDG064
     328	Segue 1           	  4	10 07 03.2	+16 04 25	  7.00	 0.52	 0.14	 	     	16.21	 	     	11.98	*	>	 19.84	   	-3	Sph  	X	 206	 0.02	CMD 	 0.05	90	   	 0.00	 -0.7	29.0	 3.24	     	<	 1.12	  67	 4.3	Milky Way      	 4.3	 1.74	  0	NAME Segue 1                 	NAME Segue 1
     329	UGC05456          	  8	10 07 19.7	+10 21 44	  1.62	 0.50	 0.18	 	15.31	13.84	 	17.16	11.63	 	 	 15.30	 62	 9	Im   	N	 527	 5.60	TRGB	 2.67	72	 28	 0.00	-15.1	23.4	 8.16	 8.39	 	 7.71	 360	-1.9	NGC2903        	-1.3	     	  1	UGC05456                     	UGC05456
     330	KKH58             	  7	10 07 22.7	+38 58 11	  1.26	 0.48	 0.06	 	16.43	15.61	 	17.94	12.94	*	 	 15.99	 83	 8	     	 	 587	18.40	TF  	 6.63	62	 41	 0.01	-15.8	24.6	 8.67	 9.11	 	 8.47	 569	-1.6	PGC2125269     	-1.2	-0.62	  0	[KKH2001] 58                 	[KKH2001] 58
     331	IKN               	  6	10 08 05.9	+68 23 57	  2.69	 0.85	 0.26	>	23.00	16.50	 	24.10	12.16	*	>	 18.20	   	-3	Sph  	X	-140	 3.75	TRGB	 3.15	39	   	 0.00	-11.6	27.2	 7.60	     	<	 6.20	  -1	 2.5	MESSIER081     	 2.6	 1.87	  1	IKN                          	IKN
     332	LeoI              	  4	10 08 26.9	+12 18 29	  9.77	 0.79	 0.16	 	     	11.18	 	     	 6.93	*	>	 19.87	   	-1	Sph  	L	 283	 0.25	TRGB	 0.73	42	   	 0.00	-11.0	24.7	 7.34	     	<	 3.18	 125	 1.4	Milky Way      	 1.4	 1.74	  1	LEO I dSph                   	LEO I dSph
     333	[CKT2009]d1009+70 	  3	10 09 34.9	+70 32 55	  0.72	 0.85	 0.59	 	21.08	18.00	 	     	13.36	*	 	      	   	-1	Sph  	L	    	 9.00	TRGB	 2.15	35	   	 0.00	-12.4	25.6	 7.90	     	 	     	    	-1.0	UGC05423       	-0.7	-0.77	  0	[CKT2009] dJ1009+70          	[CKT2009] dJ1009+70
     334	SexA              	  8	10 11 00.8	-04 41 34	  5.89	 0.83	 0.19	 	12.91	11.86	 	15.53	10.18	 	 	 11.88	 46	10	Ir   	N	 324	 1.32	Cep 	 2.34	38	 30	 0.00	-13.9	24.2	 7.49	 8.40	 	 7.82	  94	-0.8	Milky Way      	-0.4	-0.61	  1	SEX A                        	SEX A
     335	UGC05497          	  6	10 12 48.4	+64 06 27	  0.89	 0.74	 0.08	 	18.01	15.60	 	     	13.18	*	 	 18.63	 16	 9	BCD  	N	 150	 3.70	TRGB	 0.96	48	  3	 0.00	-12.3	23.9	 7.18	 6.11	 	 6.02	 267	 1.4	MESSIER081     	 1.5	 1.87	  0	UGC05497                     	UGC05497
     336	SexDSph           	  5	10 13 03.0	-01 36 52	 30.20	 0.65	 0.21	 	21.54	11.30	 	     	 7.01	*	>	 19.85	   	-3	Sph  	X	 227	 0.09	TRGB	 0.83	64	   	 0.00	 -8.7	27.2	 6.42	     	<	 2.30	   9	 2.7	Milky Way      	 2.7	 1.74	  1	Sex dSph                     	Sex dSph
     337	[CKT2009]d1014+68 	  4	10 14 55.8	+68 45 27	  0.20	 0.90	 0.20	 	22.08	20.20	 	     	15.92	*	>	 19.53	   	-1	Tr   	X	    	 4.57	TRGB	 0.28	29	   	 0.00	 -8.3	25.2	 6.27	     	<	 5.84	    	 0.0	MESSIER081     	 0.2	 1.73	  0	[CKT2009] dJ1014+68          	[CKT2009] dJ1014+68
     338	[CKT2009]d1015+69 	  3	10 15 06.9	+69 02 15	  0.25	 0.98	 0.21	 	23.88	20.50	 	     	16.21	*	 	      	   	-1	Tr   	X	    	 4.07	TRGB	 0.31	13	   	 0.00	 -7.8	26.0	 6.06	     	 	     	    	 1.3	IC2574         	 1.5	 1.88	  0	[CKT2009] dJ1015+69          	[CKT2009] dJ1015+69
     339	KUG 1013+414      	  4	10 16 15.6	+41 09 59	  1.13	 0.39	 0.08	 	18.25	15.40	 	     	12.73	*	 	      	   	 8	     	 	 518	11.12	mem 	 3.58	68	   	 0.00	-14.9	24.2	 8.32	     	 	     	 513	 2.7	NGC3184        	 2.7	 1.26	  0	KUG 1013+414                 	KUG 1013+414
     340	NGC3184           	  8	10 18 17.0	+41 25 28	  7.41	 0.93	 0.07	 	12.53	10.36	 	14.16	 7.23	 	 	 12.87	128	 6	     	 	 592	11.12	SN  	24.27	22	149	 0.05	-20.0	23.3	10.52	10.80	 	 9.28	 588	 0.6	LV J1018+4109  	 0.8	-0.81	  0	NGC3184                      	NGC3184
     341	LV J1018+4109     	  3	10 18 22.2	+41 09 57	  0.38	 0.86	 0.06	>	23.00	18.40	 	     	14.25	*	 	      	   	-1	Sph  	L	    	11.10	mem 	 1.24	34	   	 0.00	-11.9	24.9	 7.71	     	 	     	    	 3.4	NGC3184        	 3.4	 1.27	  0	[KMK2013] LV J1018+4109      	[KMK2013] LV J1018+4109
